ListType,Iteration,Duration(ms),Memory(KB)
ascending,1,0,4112
ascending,2,0,4088
ascending,3,0,4088
ascending,4,0,4088
ascending,5,0,4088
ascending,6,0,4088
ascending,7,0,4088
ascending,8,0,4088
ascending,9,0,4088
ascending,10,0,4088
descending,1,2,4088
descending,2,2,4088
descending,3,1,4088
descending,4,2,4088
descending,5,1,4088
descending,6,1,4088
descending,7,1,4088
descending,8,1,4088
descending,9,1,4088
descending,10,2,4088
partial,1,19131,4088
partial,2,22652,4088
partial,3,20868,4088
partial,4,20990,4088
partial,5,23471,4088
partial,6,23692,4088
partial,7,23448,4088
partial,8,20699,4088
partial,9,19003,4088
partial,10,20912,4088
random,1,31725,4088
random,2,32430,4088
random,3,32038,4088
random,4,31334,4088
random,5,31390,4088
random,6,31222,4088
random,7,31493,4088
random,8,31343,4088
random,9,31466,4088
random,10,32248,4088
