ListType,Iteration,Duration(ms),Memory(KB)
ascending,1,91,8004
ascending,2,94,11680
ascending,3,90,11680
ascending,4,94,11680
ascending,5,91,11680
ascending,6,90,11680
ascending,7,88,11680
ascending,8,89,11680
ascending,9,88,11680
ascending,10,90,11680
descending,1,105,11680
descending,2,109,11680
descending,3,104,11680
descending,4,101,11680
descending,5,101,11680
descending,6,100,11680
descending,7,102,11680
descending,8,97,11680
descending,9,98,11680
descending,10,99,11680
partial,1,139,11680
partial,2,131,11680
partial,3,149,11680
partial,4,148,11680
partial,5,136,11680
partial,6,142,11680
partial,7,140,11680
partial,8,133,11680
partial,9,141,11680
partial,10,134,11680
random,1,199,11680
random,2,188,11680
random,3,203,11680
random,4,191,11680
random,5,194,11680
random,6,194,11680
random,7,190,11680
random,8,195,11680
random,9,191,11680
random,10,196,11680
