ListType,Iteration,Duration(ms),Memory(KB)
ascending,1,3,7792
ascending,2,3,11668
ascending,3,3,11528
ascending,4,3,11528
ascending,5,3,11528
ascending,6,3,11528
ascending,7,3,11528
ascending,8,3,11528
ascending,9,3,11528
ascending,10,2,11528
descending,1,12,11568
descending,2,12,11572
descending,3,11,11572
descending,4,12,11572
descending,5,13,11572
descending,6,11,11572
descending,7,15,11572
descending,8,13,11572
descending,9,12,11572
descending,10,12,11572
partial,1,148,11640
partial,2,139,11640
partial,3,148,11640
partial,4,173,11640
partial,5,162,11640
partial,6,150,11640
partial,7,163,11640
partial,8,150,11640
partial,9,140,11640
partial,10,171,11640
random,1,279,11640
random,2,271,11640
random,3,277,11640
random,4,291,11640
random,5,286,11640
random,6,277,11640
random,7,274,11640
random,8,273,11640
random,9,275,11640
random,10,289,11640
