ListType,Iteration,Duration(ms),Memory(KB)
ascending,1,214,12296
ascending,2,202,26208
ascending,3,209,26136
ascending,4,206,26136
ascending,5,205,26136
ascending,6,206,12256
ascending,7,204,26236
ascending,8,204,26136
ascending,9,205,26136
ascending,10,208,12256
descending,1,212,26236
descending,2,204,26136
descending,3,202,26136
descending,4,202,26136
descending,5,202,26136
descending,6,199,26136
descending,7,199,26136
descending,8,197,26136
descending,9,197,26136
descending,10,202,26136
partial,1,293,26136
partial,2,313,26136
partial,3,300,26136
partial,4,281,26136
partial,5,297,26136
partial,6,313,26136
partial,7,280,26136
partial,8,298,26136
partial,9,295,26136
partial,10,272,26136
random,1,376,26136
random,2,399,26136
random,3,395,26136
random,4,387,26136
random,5,374,26136
random,6,367,26136
random,7,385,26136
random,8,367,26136
random,9,363,26136
random,10,375,26136
