ListType,Iteration,Duration(ms),Memory(KB)
ascending,1,0,2108
ascending,2,0,2108
ascending,3,0,2108
ascending,4,0,2108
ascending,5,0,2108
ascending,6,0,2108
ascending,7,0,2108
ascending,8,0,2108
ascending,9,0,2108
ascending,10,0,2108
descending,1,97,2108
descending,2,109,2108
descending,3,102,2108
descending,4,93,2108
descending,5,92,2108
descending,6,92,2108
descending,7,96,2108
descending,8,99,2108
descending,9,119,2108
descending,10,95,2108
partial,1,37,2108
partial,2,33,2108
partial,3,38,2108
partial,4,32,2108
partial,5,35,2108
partial,6,33,2108
partial,7,33,2108
partial,8,30,2108
partial,9,35,2108
partial,10,33,2108
random,1,50,2108
random,2,48,2108
random,3,49,2108
random,4,45,2108
random,5,49,2108
random,6,45,2108
random,7,45,2108
random,8,44,2108
random,9,45,2108
random,10,49,2108
