ListType,Iteration,Duration(ms),Memory(KB)
ascending,1,0,2024
ascending,2,0,2024
ascending,3,0,2024
ascending,4,0,2024
ascending,5,0,2024
ascending,6,0,2024
ascending,7,0,2024
ascending,8,0,2024
ascending,9,0,2024
ascending,10,0,2024
descending,1,430,2024
descending,2,427,2024
descending,3,427,2024
descending,4,434,2024
descending,5,437,2024
descending,6,432,2024
descending,7,422,2024
descending,8,422,2024
descending,9,426,2024
descending,10,419,2024
partial,1,261,2024
partial,2,228,2024
partial,3,223,2024
partial,4,225,2024
partial,5,247,2024
partial,6,282,2024
partial,7,259,2024
partial,8,260,2024
partial,9,273,2024
partial,10,283,2024
random,1,359,2024
random,2,356,2024
random,3,356,2024
random,4,356,2024
random,5,371,2024
random,6,361,2024
random,7,353,2024
random,8,354,2024
random,9,357,2024
random,10,352,2024
