ListType,Iteration,Duration(ms),Memory(KB)
ascending,1,8,4152
ascending,2,8,4064
ascending,3,7,4064
ascending,4,7,4064
ascending,5,7,4064
ascending,6,7,4064
ascending,7,8,4064
ascending,8,8,4064
ascending,9,7,4064
ascending,10,7,4064
descending,1,10,4064
descending,2,11,4064
descending,3,10,4064
descending,4,10,4064
descending,5,10,4064
descending,6,10,4064
descending,7,10,4064
descending,8,10,4064
descending,9,10,4064
descending,10,10,4064
partial,1,23,4064
partial,2,24,4064
partial,3,22,4064
partial,4,20,4064
partial,5,21,4064
partial,6,21,4064
partial,7,22,4064
partial,8,21,4064
partial,9,21,4064
partial,10,22,4064
random,1,27,4064
random,2,23,4064
random,3,24,4064
random,4,24,4064
random,5,27,4064
random,6,24,4064
random,7,26,4064
random,8,26,4064
random,9,27,4064
random,10,26,4064
