ListType,Iteration,Duration(ms),Memory(KB)
ascending,1,1,2016
ascending,2,2,2016
ascending,3,3,2016
ascending,4,2,2016
ascending,5,2,2016
ascending,6,1,2016
ascending,7,1,2016
ascending,8,2,2016
ascending,9,2,2016
ascending,10,1,2016
descending,1,1,2016
descending,2,1,2016
descending,3,1,2016
descending,4,1,2016
descending,5,1,2016
descending,6,1,2016
descending,7,1,2016
descending,8,1,2016
descending,9,1,2016
descending,10,1,2016
partial,1,2,2016
partial,2,2,2016
partial,3,1,2016
partial,4,1,2016
partial,5,1,2016
partial,6,1,2016
partial,7,1,2016
partial,8,1,2016
partial,9,1,2016
partial,10,2,2016
random,1,1,2016
random,2,2,2016
random,3,2,2016
random,4,2,2016
random,5,1,2016
random,6,1,2016
random,7,1,2016
random,8,1,2016
random,9,1,2016
random,10,1,2016
