ListType,Iteration,Duration(ms),Memory(KB)
ascending,1,0,2072
ascending,2,0,2072
ascending,3,0,2072
ascending,4,0,2072
ascending,5,0,2072
ascending,6,0,2072
ascending,7,0,2072
ascending,8,0,2072
ascending,9,0,2072
ascending,10,0,2072
descending,1,1,2072
descending,2,1,2072
descending,3,1,2072
descending,4,1,2072
descending,5,1,2072
descending,6,1,2072
descending,7,2,2072
descending,8,1,2072
descending,9,1,2072
descending,10,1,2072
partial,1,0,2072
partial,2,0,2072
partial,3,0,2072
partial,4,0,2072
partial,5,0,2072
partial,6,0,2072
partial,7,0,2072
partial,8,0,2072
partial,9,0,2072
partial,10,0,2072
random,1,0,2072
random,2,0,2072
random,3,0,2072
random,4,0,2072
random,5,0,2072
random,6,0,2072
random,7,0,2072
random,8,0,2072
random,9,0,2072
random,10,0,2072
