ListType,Iteration,Duration(ms),Memory(KB)
ascending,1,2,4368
ascending,2,2,4348
ascending,3,2,4348
ascending,4,2,4348
ascending,5,2,4348
ascending,6,2,4348
ascending,7,2,4348
ascending,8,2,4348
ascending,9,2,4348
ascending,10,1,4348
descending,1,3,4348
descending,2,3,4348
descending,3,2,4348
descending,4,2,4348
descending,5,2,4348
descending,6,2,4348
descending,7,2,4348
descending,8,2,4348
descending,9,2,4348
descending,10,2,4348
partial,1,11,4348
partial,2,12,4348
partial,3,11,4348
partial,4,11,4348
partial,5,12,4348
partial,6,12,4348
partial,7,11,4348
partial,8,13,4348
partial,9,11,4348
partial,10,10,4348
random,1,12,4348
random,2,12,4348
random,3,13,4348
random,4,12,4348
random,5,13,4348
random,6,12,4348
random,7,12,4348
random,8,12,4348
random,9,12,4348
random,10,12,4348
