ListType,Iteration,Duration(ms),Memory(KB)
ascending,1,0,3988
ascending,2,0,3988
ascending,3,0,3988
ascending,4,0,3988
ascending,5,0,3988
ascending,6,0,3988
ascending,7,0,3988
ascending,8,0,3988
ascending,9,0,3988
ascending,10,0,3988
descending,1,0,3988
descending,2,0,3988
descending,3,0,3988
descending,4,0,3988
descending,5,0,3988
descending,6,0,3988
descending,7,0,3988
descending,8,0,3988
descending,9,0,3988
descending,10,0,3988
partial,1,0,3988
partial,2,0,3988
partial,3,0,3988
partial,4,0,3988
partial,5,0,3988
partial,6,0,3988
partial,7,0,3988
partial,8,0,3988
partial,9,0,3988
partial,10,0,3988
random,1,1,3988
random,2,1,3988
random,3,1,3988
random,4,1,3988
random,5,1,3988
random,6,1,3988
random,7,0,3988
random,8,1,3988
random,9,0,3988
random,10,0,3988
