ListType,Iteration,Duration(ms),Memory(KB)
ascending,1,1,2052
ascending,2,1,2052
ascending,3,1,2052
ascending,4,1,2052
ascending,5,2,2052
ascending,6,1,2052
ascending,7,1,2052
ascending,8,1,2052
ascending,9,1,2052
ascending,10,1,2052
descending,1,2,2052
descending,2,3,2052
descending,3,2,2052
descending,4,3,2052
descending,5,2,2052
descending,6,2,2052
descending,7,3,2052
descending,8,2,2052
descending,9,2,2052
descending,10,3,2052
partial,1,1,2052
partial,2,1,2052
partial,3,1,2052
partial,4,1,2052
partial,5,1,2052
partial,6,1,2052
partial,7,1,2052
partial,8,1,2052
partial,9,1,2052
partial,10,1,2052
random,1,1,2052
random,2,1,2052
random,3,2,2052
random,4,2,2052
random,5,2,2052
random,6,1,2052
random,7,1,2052
random,8,1,2052
random,9,1,2052
random,10,1,2052
