ListType,Iteration,Duration(ms),Memory(KB)
ascending,1,1012314,7680
ascending,2,854604,41252
ascending,3,844356,41252
ascending,4,893166,41252
ascending,5,902885,41252
ascending,6,852919,41252
ascending,7,864248,41252
ascending,8,718597,41252
ascending,9,745302,41252
ascending,10,731460,41252
descending,1,873496,41252
descending,2,833373,41252
descending,3,759028,41252
descending,4,834452,41252
descending,5,719475,41252
descending,6,755904,41252
descending,7,689301,41252
descending,8,772800,41252
descending,9,834612,41252
descending,10,736577,41252
partial,1,91518,41252
partial,2,343838,41252
partial,3,212963,41252
partial,4,317702,41252
partial,5,1492469,41252
partial,6,230261,41252
partial,7,672711,41252
partial,8,1360485,41252
partial,9,322314,41252
partial,10,104569,41252
random,1,2465,41252
random,2,1496,41252
random,3,1408,41252
random,4,1408,41252
random,5,1776,41252
random,6,1680,41252
random,7,1541,41252
random,8,1024,41252
random,9,1875,41252
random,10,702,41252
