ListType,Iteration,Duration(ms),Memory(KB)
ascending,1,59,4308
ascending,2,59,4308
ascending,3,65,4308
ascending,4,58,4308
ascending,5,60,4308
ascending,6,58,4308
ascending,7,58,4308
ascending,8,59,4308
ascending,9,59,4308
ascending,10,59,4308
descending,1,175,4308
descending,2,176,4308
descending,3,207,4308
descending,4,274,4308
descending,5,276,4308
descending,6,289,4308
descending,7,317,4308
descending,8,351,4308
descending,9,418,4308
descending,10,395,4308
partial,1,3,4308
partial,2,3,4308
partial,3,5,4308
partial,4,2,4308
partial,5,2,4308
partial,6,2,4308
partial,7,2,4308
partial,8,2,4308
partial,9,2,4308
partial,10,2,4308
random,1,2,4308
random,2,2,4308
random,3,3,4308
random,4,2,4308
random,5,2,4308
random,6,2,4308
random,7,2,4308
random,8,2,4308
random,9,2,4308
random,10,2,4308
